"","Ecode","Authority","Class","...4","1. Council Tax Requirement for billing authority including special expenses, local precepts and Adult Social Care Precept.","...6","2. Parish precepts","...8","3. Council Tax Requirement for billing authority (including special expenses and Adult Social Care precept, but excluding local precepts)","...10","3a. Levies and special levies","...12","4. Tax base (after council tax reduction scheme)","...14","5. Estimated collection rate (%)","...16","6. Tax base adjustment (contributions in lieu of Class O exempt dwellings)","...18","7. Council tax base for council tax setting purposes","...20","8. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and local precepts)","...22","9. Average (Band D 2 Adult equivalent) council tax (including Adult Social Care precept and excluding local precepts)","...24","10. Total Adult Social Care precept","11a. Adult Social Care precept element of the 2019-20 Average (Band D 2 Adult equivalent) council tax (£)","11b. Adult Social Care precept as a percentage of the 2018-19 Average Band D 2 Adult equivalent council tax, excluding local precepts, (maximum 2%)","14. Is the council tax your authority set subject to a referendum?","15. Are one or more precepting authorities in your area holding a referendum?","16. Average council tax of major precepting authorities in the billing authority's area","...31","...32","...33","17. Average (Band D 2 adult equivalent) council tax for area of the billing authority including both local and major precepts.  (Lines 8+ 16(a) + 16(b) + 16(c) +16(d))","18. All parishes that exist in the authority's area in 2019-20 (whether they set a precept or not)","...36","19. Charter Trustees in the authority's area - 2019-20","...38","20. Precepting parishes, Charter Trustees and Temples in the authority's area setting a precept in 2019-20","...40","12. How do you wish to apply the referendum priniciples?","Local authority...42","Taxbase for setting council tax...43","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...44","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...45","Total Adult Social Care precept...46","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...47","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...48","Local authority...49","Taxbase for setting council tax...50","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...51","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...52","Total Adult Social Care precept...53","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...54","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...55","Local authority...56","Taxbase for setting council tax...57","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...58","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...59","Total Adult Social Care precept...60","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...61","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...62","Local authority...63","Taxbase for setting council tax...64","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...65","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...66","Total Adult Social Care precept...67","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...68","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...69","Local authority...70","Taxbase for setting council tax...71","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...72","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...73","Total Adult Social Care precept...74","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...75","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...76","Local authority...77","Taxbase for setting council tax...78","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept and local precepts) of billing authority...79","Average (Band D 2 Adult equivalent ) council tax (including Adult Social Care precept but excluding local precepts) of billing authority...80","Total Adult Social Care precept...81","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (£)...82","Adult Social Care precept as an element of the increase in Average (Band D 2 Adult equivalent) council tax (excluding local precept) (%)...83"
"138","E2336","Hyndburn","SD",NA,"4944748","5152441","12645","12725","4932103","5139716","0","0","21472.3","21863.200000000001","95.5","95.75","0","0","20506","20934","241.14","246.13","240.52","245.52",0,"0","0","No","No","1346.59","201.45","69.48","0","1863.6499999999999","1","316","0","0","1","316","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"139","E3533","Ipswich","SD",NA,"13408355","13879060","0","0","13408355","13879060","0","0","38517.199999999997","38710.17","99","99","0","0","38132","38323.1","351.63","362.16","351.63","362.16",0,"0","0","No","No","1292.1300000000001","212.76","0","0","1867.0500000000002","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"140","E2101","Isle of Wight Council","UA",NA,"86345709","90280599","4057304","4712211","82288405","85568388","0","0","53723.3","54179.8","98.65","98.76","0","0","52998","53508","1629.23","1687.24","1552.67","1599.17",0,"0","0","No","No","0","201.46","0","0","1888.7","33","53508","0","0","33","53508","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"141","E4001","Isles of Scilly","UA",NA,"1643345","1681888","0","0","1643345","1681888","16543","14744","1342.08","1333.7","98.75","98.75","0","0","1325.3","1317","1239.98","1277.06","1239.98","1277.06",0,"0","0","No","No","0","212.28","0","0","1489.34","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"142","E5015","Islington","ILB",NA,"88746341","92976760","0","0","88746341","92976760","22277000","19962000","79771.199999999997","81147.199999999997","98","98","0","0","78175.8","79524.3","1135.22","1169.1600000000001","1135.22","1169.1600000000001",82.36,"0","0","No","No","320.51","0","0","0","1489.67","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"143","E5016","Kensington and Chelsea","ILB",NA,"81421353","86453000","0","0","81421353","86453000","12924703","12808216","98302","99620.3","98","97.75","0","50.1","96336","97428.9","845.18","887.34","845.18","887.34",1646899,"16.899999999999999","1.9995740552308385","No","No","320.51","0","0","0","1207.8499999999999","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"144","E2834","Kettering","SD",NA,"7121996","7198712","600996","476302","6521000","6722410","0","0","32564.1","33312.980000000003","97.5","98.25","0","0","31750","32730","224.31","219.94","205.39","205.39",0,"0","0","No","No","1236.0999999999999","245.04","60.76","0","1761.84","26","16233","0","0","25","16192","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"145","E2634","Kings Lynn and West Norfolk","SD",NA,"8945884","9692928","2285374","2553178","6660510","7139750","2716590","2759490","50258.3","50695.6","97.5","100","464.1","482.9","49465.9","51178.5","180.85","189.39","134.65","139.51",0,"0","0","No","No","1362.24","253.08","0","0","1804.71","101","40748.199999999997","0","0","87","39948.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"146","E2002","Kingston upon Hull","UA",NA,"79938927","84284496","0","0","79938927","84284496","409080","419905","62219.9","63694.3","96.494900000000001","96.5","0","0","60039","61465","1331.45","1371.26","1331.45","1371.26",0,"0","0","No","No","0","223.31","84.94","0","1679.51","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"147","E5043","Kingston upon Thames","OLB",NA,"92085649","97424051","0","0","92085649","97424051","555172","508030","62641.7","63124.800000000003","99.2","99.2","186.4","186.4","62327","62806.2","1477.46","1551.19","1477.46","1551.19",1855923.21,"29.55","2.0000541469819826","No","No","320.51","0","0","0","1871.7","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"148","E4703","Kirklees","MD",NA,"173378630","179977464","757943","779464","172620687","179198000","18407122","18177594","119502.8","120486.87","98.550000000000011","98.524060000000006","0","0","117770","118708.6","1472.18","1516.13","1465.74","1509.56",0,"0","0","No","No","0","186.95","64.59","0","1767.67","5","34119.5","0","0","5","34119.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"149","E4301","Knowsley","MD",NA,"51733227","54401601","1130876","1203627","50602351","53197974","17658000","18383000","35992.800000000003","36552.800000000003","97.5","98","0","0","35093","35821.699999999997","1474.18","1518.68","1441.95","1485.08",0,"0","0","No","No","0","201.97","78.84","19","1818.49","5","14410","0","0","5","14410","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"150","E5017","Lambeth","ILB",NA,"117625812","122881380","0","0","117625812","122881380","4096142","3823738","111618.38","113221.02","96.5","96.5","0","0","107711.7","109258.3","1092.04","1124.69","1092.04","1124.69",0,"0","0","No","No","320.51","0","0","0","1445.2","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"151","E2337","Lancaster","SD",NA,"9697441","10059044","618541","663344","9078900","9395700","0","0","41752.1","41953.79","98.677700000000002","98.68","0","0","41200","41400","235.37","242.97","220.36","226.95",0,"0","0","No","No","1346.59","201.45","69.48","0","1860.49","38","24415.8","0","0","35","24284","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"152","E4704","Leeds","MD",NA,"303472199","319969804","1922982","1992385","301549217","317977419","36076518","35772482","227327.3","230513","99","99","1.2","1.2","225055.2","228209.1","1348.43","1402.09","1339.89","1393.36",3055719.85,"13.39","0.999335766368881","No","No","0","186.95","64.59","0","1653.6299999999999","34","62536.6","0","0","32","62502.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"153","E2401","Leicester","UA",NA,"107948000","114696000","0","0","107948000","114696000","82105","85043","73280.800000000003","75401.8","97.75","98.000299999999996","0","0","71632","73894","1506.98","1552.17","1506.98","1552.17",0,"0","0","No","No","0","223.23","66.64","0","1842.0400000000002","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"154","E1435","Lewes","SD",NA,"10896649","11247051","3458649","3728451","7438000","7518600","0","0","37712.800000000003","37415.199999999997","98.2","98.25","0","0","37034","36760.400000000001","294.23","305.95999999999998","200.84","204.53",0,"0","0","No","No","1434.78","189.91","93.67","0","2024.3200000000002","28","36760.400000000001","0","0","24","36660.400000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"155","E5018","Lewisham","ILB",NA,"104082555","111738742","0","0","104082555","111738742","1690526","1699648","90059","91139.3","96","97","0","0","86456.6","88405.1","1203.8699999999999","1263.94","1203.8699999999999","1263.94",2128569,"24.08","2.0002159701628912","No","No","320.51","0","0","0","1584.45","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"156","E3433","Lichfield","SD",NA,"8100871","8515455","1750130","1860904","6350741","6654551","0","0","37590","38247.9","99","99","145.4","145.4","37359.5","38010.800000000003","216.84","224.03","169.99","175.07",0,"0","0","No","No","1246.23","216.56","75.73","0","1762.55","28","38010.800000000003","0","0","25","38010.800000000003","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"157","E2533","Lincoln","SD",NA,"6393490","6679040","0","0","6393490","6679040","824780","841160","24184.1","24546.6","98.75","98.75","61.2","60","23943","24299.8","267.02999999999997","274.86","267.02999999999997","274.86",0,"0","0","No","No","1292.4000000000001","241.38","0","0","1808.6400000000003","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"158","E4302","Liverpool","MD",NA,"166898650","174840638","0","0","166898650","174840638","58046000","58861835","110820.2","112723.59","94","94","0","0","104171","105960.2","1602.16","1650.06","1602.16","1650.06",0,"0","0","No","No","0","201.97","78.84","19","1949.87","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"159","E0201","Luton","UA",NA,"72426817","74893277","0","0","72426817","74893277","114526","115342","52129.2","52339.4","96.8","96.8","0","0","50461.1","50664.5","1435.3","1478.22","1435.3","1478.22",0,"0","0","No","No","0","202.09","98.45","0","1778.76","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"160","E2237","Maidstone","SD",NA,"17218170","18093294","1811097","1936075","15407073","16157219","115400","115400","61339","62462","99","99","196","196","60921.599999999999","62033.4","282.63","291.67","252.9","260.45999999999998",0,"0","0","No","No","1299.42","193.15","77.760000000000005","0","1862.0000000000002","41","33160.699999999997","0","0","35","32757.9","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"161","E1539","Maldon","SD",NA,"6104077","6306578","1435560","1463085","4668517","4843493","0","0","24611.599999999999","24960.400000000001","98.3","98.3","0","0","24193.200000000001","24536.1","252.31","257.02999999999997","192.97","197.4",0,"0","0","No","No","1270.44","192.96","72.45","0","1792.88","33","24536.1","0","0","33","24536.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"162","E1851","Malvern Hills","SD",NA,"6777986","7089988","2129494","2211135","4648492","4878853","0","0","30615","31112.799999999999","99.5","99.5","0","0","30461.9","30957.200000000001","222.51","229.03","152.6","157.6",0,"0","0","No","No","1260.75","216.66","84.34","0","1790.78","68","30957.200000000001","0","0","54","30957.200000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"163","E4203","Manchester","MD",NA,"149626482","159029607","0","0","149626482","159029607","68655000","69990000","117062","120222.59","96.5","96.5","0","0","112964.8","116014.8","1324.54","1370.77","1324.54","1370.77",2304990,"19.87","1.5001434460265453","No","No","0","198.3","0","76.95","1646.02","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"164","E3035","Mansfield","SD",NA,"5443248","5502092","103824","104592","5339424","5397500","0","0","29345.69","29664.9","98.5","98.5","0","0","28905.5","29219.9","188.31","188.3","184.72","184.72",0,"0","0","No","No","1476.06","219.33","79.8","0","1963.4899999999998","1","3051.1","1","14946.3","1","3051.1","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"165","E2201","Medway","UA",NA,"115118130","120129791","454790","478921","114663340","119650870","0","0","85180.86","86311.49","97.6","97.6","298.7","293.2","83435.199999999997","84533.2","1379.73","1421.1","1374.28","1415.43",0,"0","0","No","No","0","193.15","77.760000000000005","0","1692.01","11","12291.2","0","0","11","12291.2","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"166","E2436","Melton","SD",NA,"4232921","4429779","616612","646547","3616309","3783232","16720","17140","18512.849999999999","18798.88","99.1","99.1","33.299999999999997","39.799999999999997","18379.5","18669.5","230.31","237.27","196.76","202.64",0,"0","0","No","No","1292.18","223.23","66.64","0","1819.3200000000002","26","9785.4599999999991","0","0","26","9785.4599999999991","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"167","E3331","Mendip","SD",NA,"9774442","10348937","3460179","3728071.5","6314263","6620865.5","72862","74513","40407.300000000003","41322.5","98","98","0","0","39599.199999999997","40496.1","246.83","255.55","159.44999999999999","163.49",0,"0","0","No","No","1239.73","217.81","86.52","0","1799.61","62","40496","0","0","55","39958.400000000001","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"168","E5044","Merton","OLB",NA,"87009000","92370018","0","0","87009000","92370018","938287","949062","75631.248000000007","76087.7","98","98.5","5.34","5.3","74124","74951.7","1173.83","1232.3900000000001","1173.83","1232.3900000000001",1756118,"23.43","1.9960300895359637","No","No","320.51","0","0","0","1552.9","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"169","E1133","Mid Devon","SD",NA,"7139254","7544093","1538844","1714992.66","5600410","5829100.3399999999","0","0","28875.24","29180.07","98","98","0","0","28297.7","28596.5","252.29","263.81","197.91","203.84",0,"0","0","No","No","1384.29","212.28","86.52","0","1946.8999999999999","62","28596.47","0","0","54","28242.240000000002","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"170","E3534","Mid Suffolk","SD",NA,"8466535","8817821","2551595","2700731","5914940","6117090","0","0","36317.18","36812.5","99.5","99.5","201.8","213","36337.4","36841.4","233","239.35","162.78","166.04",0,"0","0","No","No","1292.1300000000001","212.76","0","0","1744.24","123","36841.4","0","0","107","36133.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"171","E3836","Mid Sussex","SD",NA,"13791649","14259679","4160729","4211979","9630920","10047700","931","950","60345.34","61073.9","99.4","99.4","0","0","59983.3","60707.5","229.92","234.89","160.56","165.51",0,"0","0","No","No","1383.57","189.91","0","0","1808.3700000000001","24","60707.5","0","0","24","60707.5","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"172","E0702","Middlesbrough","UA",NA,"51893983","55284824","13740","16252","51880243","55268572","122972","124653","33796.699999999997","34505.5","97.999899999999997","97.399000000000001","0","0","33120.699999999997","33608","1566.81","1644.99","1566.4","1644.51",1053000,"31.33","2.0001276813074567","No","No","0","250.54","77.36","0","1972.8899999999999","2","2899","0","0","2","2899","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"173","E0401","Milton Keynes","UA",NA,"118429165","125259488","7147359","7989498","111281806","117269990","462835","476983","84341.81","86300.73","98.350000000000009","98.350000000000009","0","0","82950.2","84876.800000000003","1427.71","1475.78","1341.55","1381.65",0,"0","0","No","No","0","206.28","64.569999999999993","0","1746.6299999999999","48","84876.77","0","0","46","84764.46","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"174","E3634","Mole Valley","SD",NA,"7318905","7640373","324706","327091","6994199","7313282","0","0","40731.300000000003","41370.699999999997","99","99","0","0","40324","40957","181.5","186.55","173.45","178.56",0,"0","0","No","No","1453.5","260.57","0","0","1900.62","13","8862","0","0","13","8862","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"175","E1738","New Forest","SD",NA,"17628200","18427914","5738450","6106454","11889750","12321460","0","0","71474.2","71934.7","98.5","98.5","218.9","218.7","70621","71074.399999999994","249.62","259.27999999999997","168.36","173.36",0,"0","0","No","No","1236.8699999999999","201.46","67.709999999999994","0","1765.32","37","71074.399999999994","0","0","36","70957.600000000006","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"176","E3036","Newark and Sherwood","SD",NA,"9335267.4199999999","9654708","2810467.42","2925108","6524800","6729600","533630","546240","38707.269999999997","39163.232323232325","99","99","0","0","38320.199999999997","38771.599999999999","243.61","249.01","170.27","173.57",0,"0","0","No","No","1476.06","219.33","79.8","0","2024.1999999999998","84","38771.599999999999","0","0","64","38342.6","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"177","E4502","Newcastle upon Tyne","MD",NA,"104020156.38000001","109785589","67028","72564","103953128.38000001","109713025","16433660","16298218","67392.800000000003","68076.800000000003","97.5","98","45.9","45.9","65753.899999999994","66761.2","1581.96","1644.45","1580.94","1643.37",1055456,"15.81","1.0000379521044442","No","No","0","134.33000000000001","82.33","0","1861.11","6","6189","0","0","6","6189","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"178","E3434","Newcastle-under-Lyme","SD",NA,"7569827","7866700","558982","586570","7010845","7280130","0","0","37755.9","37990.800000000003","97.5","97.7","0","0","36812","37117","205.63","211.94","190.45","196.14",0,"0","0","No","No","1246.23","216.56","75.73","0","1750.46","10","16535","0","0","10","16535","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"179","E5045","Newham","OLB",NA,"72810942","79763494","0","0","72810942","79763494","19622108","20639257.440000001","77983","81514.5","96.8","96.8","0","0","75487.5","78906","964.54","1010.87","964.54","1010.87",1492000,"18.91","1.9605200406411349","No","No","320.51","0","0","0","1331.38","0","0","0","0","0","0","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
"180","E1134","North Devon","SD",NA,"7845341","8281842","1892891","2057402","5952450","6224440","0","0","34294.35","34818.910000000003","97.5","97.5","0","0","33437","33948.400000000001","234.63","243.95","178.02","183.35",0,"0","0","No","No","1384.29","212.28","86.52","0","1927.04","59","33948.400000000001","0","0","56","33804.57","-",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0",NA,"0","0","0","0","0","0"
