ecode,onscode,authority.x,region,class.x,tstb_1516,tstb_1617,tstb_1718,tstb_1819,tstb_1920,tstb_2021,tstb_2122,tstb_2223,tstb_2324
E3834,E07000226,Crawley,SE,SD,32697.5,33368.5,33893.5,34484.400000000001,35216.300000000003,35811.9,34961.9,35758.199999999997,35952.7
E5035,E09000008,Croydon,L,OLB,113893,117795.1,121243.2,124641,128931.1,132728.70000000001,129940.8,136370.79999999999,137230.9
E0901,E06000063,Cumberland,NW,UA,NA,NA,NA,NA,NA,NA,NA,NA,88328.6
E1932,E07000096,Dacorum,E,SD,54637.7,55282,56415.4,56743.6,57270.2,58567.4,58693.7,59328.3,59922.3
E1301,E06000005,Darlington,NE,UA,31101,31739.599999999999,31989.5,32375.599999999999,32873.699999999997,33329.300000000003,33479.599999999999,34464.493999999999,34814.5
E2233,E07000107,Dartford,SE,SD,33229,34243,35334.9,36685.1,37747,38756.9,38792.300000000003,39544.199999999997,40288.4
E1001,E06000015,Derby,EM,UA,63240.4,65138.2,66574.100000000006,67610.399999999994,68679,69592.100000000006,69545.8,70030.600000000006,71038.7
E1035,E07000035,Derbyshire Dales,EM,SD,28064.5,28270.3,28534.3,28833.9,28914.1,29828.7,29976.2,30539.4,30662.5
E4402,E08000017,Doncaster,YH,MD,75729,77071,79095,80672,82776,84141.2,82809.8,84601.8,85978.9
E1203,E06000059,Dorset Council,SW,UA,NA,NA,NA,NA,148087.20000000001,148410.79999999999,148319.70000000001,150617.89600000001,152424
E2234,E07000108,Dover,SE,SD,35503.699999999997,36251.9,37204.400000000001,37962.699999999997,38526.300000000003,39029.699999999997,38993.9,39763.199999999997,39974.4
E4603,E08000027,Dudley,WM,MD,85902.7,88126.1,89561.600000000006,91427.4,92254,93074.2,91800.5,93790.9,93834.6
E1302,E06000047,Durham,NE,UA,130492.7,133892.4,135620.9,138419.20000000001,139738.79999999999,141742,141623.20000000001,143695.82699999999,145675.9
E5036,E09000009,Ealing,L,OLB,104595.9,109312.1,111132.4,113076.9,115489.9,116838,117138,118648.5,121612.9
E0532,E07000009,East Cambridgeshire,E,SD,28263,28682.1,28946,29260.5,29719.4,30190.1,29930,31115.3,31964.9
E1131,E07000040,East Devon,SW,SD,55288.800000000003,56403.8,57477.1,58669,59283,60141,60084,60804.954769999997,61653.1
E1732,E07000085,East Hampshire,SE,SD,47352.1,48627.6,48900.800000000003,49459.6,50461.9,51083.1,51407.1,51908.7,52581.3
E1933,E07000242,East Hertfordshire,E,SD,56425.5,57254.9,58674,59602.8,60721.9,61272,61734.400000000001,62609.7,63892.8
E2532,E07000137,East Lindsey,EM,SD,41256.9,42355.1,42801.9,43468,44264,44971,45067,45793,46377
E2001,E06000011,East Riding of Yorkshire,YH,UA,109047.6,111185.3,113265.60000000001,115045.7,116543.9,118159.6,117313.4,120900.3,122527.8
E3432,E07000193,East Staffordshire,WM,SD,34436.1,35159.699999999997,35950.300000000003,36736.400000000001,37278.199999999997,38388.5,37875,39059.199999999997,40060
E3538,E07000244,East Suffolk,E,SD,NA,NA,NA,NA,86755.1,87888.9,87339.4,89023.4,90340.9
E1432,E07000061,Eastbourne,SE,SD,32558.9,33606.1,33923.699999999997,34354.400000000001,34765.300000000003,34848.6,34532.199999999997,34754,35294.8
E1733,E07000086,Eastleigh,SE,SD,42660.3,43336.1,44118.3,44806,45853.599999999999,47034.5,47774.400000000001,48373.4,48510.2
